name,crossing_number,strands,braid_word,jones_q,raw_braid_notation,raw_jones_t,comparable
3_1,3,2,"[1, 1, 1]",q+ q**3-q**4,"[1,1,1]",t+ t^3-t^4,true
4_1,4,3,"[1, -2, 1, -2]",q**(-2)-q**(-1)+ 1-q+ q**2,"[1,-2,1,-2]",t^(-2)-t^(-1)+ 1-t+ t^2,true
5_1,5,2,"[1, 1, 1, 1, 1]",q**2+ q**4-q**5+ q**6-q**7,"[1,1,1,1,1]",t^2+ t^4-t^5+ t^6-t^7,true
5_2,5,3,"[1, 1, 1, 2, -1, 2]",q-q**2+ 2*q**3-q**4+ q**5-q**6,"[1,1,1,2,-1,2]",t-t^2+ 2*t^3-t^4+ t^5-t^6,true
6_1,6,4,"[1, 1, 2, -1, -3, 2, -3]",q**(-2)-q**(-1)+ 2-2*q+ q**2-q**3+ q**4,"[1,1,2,-1,-3,2,-3]",t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4,true
6_2,6,3,"[1, 1, 1, -2, 1, -2]",q**(-1)-1+ 2*q-2*q**2+ 2*q**3-2*q**4+ q**5,"[1,1,1,-2,1,-2]",t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5,true
6_3,6,3,"[1, 1, -2, 1, -2, -2]",-q**(-3)+ 2*q**(-2)-2*q**(-1)+ 3-2*q+ 2*q**2-q**3,"[1,1,-2,1,-2,-2]",-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3,true
7_1,7,2,"[1, 1, 1, 1, 1, 1, 1]",q**3+ q**5-q**6+ q**7-q**8+ q**9-q**10,"[1,1,1,1,1,1,1]",t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10,true
7_2,7,4,"[1, 1, 1, 2, -1, 2, 3, -2, 3]",q-q**2+ 2*q**3-2*q**4+ 2*q**5-q**6+ q**7-q**8,"[1,1,1,2,-1,2,3,-2,3]",t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8,true
7_3,7,3,"[1, 1, 1, 1, 1, 2, -1, 2]",q**2-q**3+ 2*q**4-2*q**5+ 3*q**6-2*q**7+ q**8-q**9,"[1,1,1,1,1,2,-1,2]",t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9,true
7_4,7,4,"[1, 1, 2, -1, 2, 2, 3, -2, 3]",q-2*q**2+ 3*q**3-2*q**4+ 3*q**5-2*q**6+ q**7-q**8,"[1,1,2,-1,2,2,3,-2,3]",t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8,true
7_5,7,3,"[1, 1, 1, 1, 2, -1, 2, 2]",q**2-q**3+ 3*q**4-3*q**5+ 3*q**6-3*q**7+ 2*q**8-q**9,"[1,1,1,1,2,-1,2,2]",t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9,true
